ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Transcription,AlternativeValue,AlternativeTranscription
endepapuanewguinea-2-280-1,,endepapuanewguinea,2-280,llɨg kälsre,llɨg kälsre,,,Lindsey2019,,,standardorth,ɽɪɡ kəlsre,phonetic
endepapuanewguinea-2-310-1,,endepapuanewguinea,2-310,gullbe,gullbe,,,Lindsey2019,,,standardorth,ɡuɽbe,phonetic
endepapuanewguinea-2-320-1,,endepapuanewguinea,2-320,mälla,mälla,,,Lindsey2019,,,standardorth,məɽa,phonetic
endepapuanewguinea-2-330-1,,endepapuanewguinea,2-330,llädäd,llädäd,,,Lindsey2019,,,standardorth,ɽədəd,phonetic
endepapuanewguinea-2-340-1,,endepapuanewguinea,2-340,llädäd,llädäd,,,Lindsey2019,,,standardorth,ɽədəd,phonetic
endepapuanewguinea-2-341-1,,endepapuanewguinea,2-341,kän,kän,,also: ttaempäg,Lindsey2019,,,standardorth,kən,phonetic
endepapuanewguinea-2-350-1,,endepapuanewguinea,2-350,yaya,yaya,,"also: baba, mäda",Lindsey2019,,,standardorth,jaja,phonetic
endepapuanewguinea-2-360-1,,endepapuanewguinea,2-360,yae,yae,,also: mäg,Lindsey2019,,,standardorth,jaj,phonetic
endepapuanewguinea-2-380-1,,endepapuanewguinea,2-380,mälla peyang lla,mälla peyang lla,,,Lindsey2019,,,standardorth,məɽa pejaŋ ɽa,phonetic
endepapuanewguinea-2-390-1,,endepapuanewguinea,2-390,gullbe peyang mälla,gullbe peyang mälla,,,Lindsey2019,,,standardorth,ɡuɽbe pejaŋ məɽa,phonetic
endepapuanewguinea-2-410-1,,endepapuanewguinea,2-410,llɨg,llɨg,,,Lindsey2019,,,standardorth,ɽɪɡ,phonetic
endepapuanewguinea-2-420-1,,endepapuanewguinea,2-420,män,män,,,Lindsey2019,,,standardorth,mən,phonetic
endepapuanewguinea-2-430-1,,endepapuanewguinea,2-430,llɨg,llɨg,,,Lindsey2019,,,standardorth,ɽɪɡ,phonetic
endepapuanewguinea-2-440-1,,endepapuanewguinea,2-440,mang,mang,,(of female ego),Lindsey2019,,,standardorth,maŋ,phonetic
endepapuanewguinea-2-444-1,,endepapuanewguinea,2-444,mosen,mosen,,(of male ego). Also: dada (either ego).,Lindsey2019,,,standardorth,mosen,phonetic
endepapuanewguinea-2-445-1,,endepapuanewguinea,2-445,mänyan,mänyan,,(of male ego),Lindsey2019,,,standardorth,məɲan,phonetic
endepapuanewguinea-2-450-1,,endepapuanewguinea,2-450,män,män,,(of male ego),Lindsey2019,,,standardorth,mən,phonetic
endepapuanewguinea-2-454-1,,endepapuanewguinea,2-454,mosen,mosen,,(of female ego). Also: dada (either ego).,Lindsey2019,,,standardorth,mosen,phonetic
endepapuanewguinea-2-455-1,,endepapuanewguinea,2-455,mänyan,mänyan,,(of female ego),Lindsey2019,,,standardorth,məɲan,phonetic
endepapuanewguinea-2-458-1,,endepapuanewguinea,2-458,komllazegatt,komllazegatt,,,Lindsey2019,,,standardorth,komɽazeɡaʈᶳ,phonetic
endepapuanewguinea-2-460-1,,endepapuanewguinea,2-460,masar,masar,,,Lindsey2019,,,standardorth,masar,phonetic
endepapuanewguinea-2-461-1,,endepapuanewguinea,2-461,llamda,llamda,,also: llamäg,Lindsey2019,,,standardorth,ɽamda,phonetic
endepapuanewguinea-2-470-1,,endepapuanewguinea,2-470,kak,kak,,,Lindsey2019,,,standardorth,kak,phonetic
endepapuanewguinea-2-471-1,,endepapuanewguinea,2-471,ause,ause,,also: mällause,Lindsey2019,,,standardorth,awse,phonetic
endepapuanewguinea-2-480-1,,endepapuanewguinea,2-480,kok,kok,,also: masar (for males),Lindsey2019,,,standardorth,kok,phonetic
